name,vicinity,plus_code,user_ratings_total,rating,place_id
Mausefalle 33 1/3,"Weberstraße 41, Bonn","P4G4+P4 Bonn, Germany",348,4.4,ChIJYzEH7XbhvkcRo-Mpqmqo3Go
Domino's Pizza Bonn Bad Godesberg,"Mittelstraße 1, Bonn","M5W6+6C Bonn, Germany",353,3.3,ChIJNdIgsBHkvkcRwjd5crCsmw8
Halbedel’s Gasthaus,"Rheinallee 47, Bonn","M5Q8+JF Bonn, Germany",127,4.7,ChIJnXES3BTkvkcRdUdK7EQz1FU
Joligs 2012,"Ermekeilstraße 22, Bonn","P4F2+GJ Bonn, Germany",220,4.5,ChIJMXk_8nfhvkcRWcuVWgjt20E
The Fiddlers Bonn,"Frongasse 9, Bonn","P3GF+XR Bonn, Germany",1262,4.5,ChIJE6BBKu3hvkcRi7L717SK69c
Restaurant Zum Treppchen seit 1883 in Bonn Süd-Stadt,"Weberstraße 42, Bonn","P4G4+WH Bonn, Germany",264,4.4,ChIJBaV3vHbhvkcR6Lfeygkh5ds
McDonald's Restaurant,"Poststraße 12, Bonn","P3MX+63 Bonn, Germany",1310,3.2,ChIJDQDEN5_hvkcRRGo301GH84c
Restaurant IL BORGO,"Kalkuhlstraße 29, Bonn","P575+XV Bonn, Germany",290,4.4,ChIJbWep2q7mvkcR6abZO44fIP0
Pizza Mann,"Sternenburgstraße 86, Bonn","P39V+WH Bonn, Germany",411,3.8,ChIJI_5k64PhvkcRI69Sd2EbxRE
Valtellina,"Villichgasse 2d, Bonn","M5M3+G6 Bonn, Germany",926,4.4,ChIJ457G0nPkvkcRHjMN6YhmZCU
Pizza Hut,"Münsterplatz 24, Bonn","P3MX+WV Bonn, Germany",1650,3.8,ChIJc7yjzKHhvkcRpcFejqq2TUY
Limao Brasil Bar & Restaurant,"Moltkestraße 64, Bonn","M5M5+G8 Bonn, Germany",909,4.3,ChIJ5bz40W3kvkcRnqcWoy5k_SM
Redoute Bonn Eventlocation - Tagungen - Hochzeiten - Schloss,"Kurfürstenallee 1, Bonn","M5J3+J6 Bonn, Germany",264,4.7,ChIJHzuzy3HkvkcR3loGIoUa3D0
"Bahnhöfchen | Restaurant, Bar & Lounge","Rheinaustraße 116, Bonn","P4R7+67 Bonn, Germany",1933,3.9,ChIJTzF14w7hvkcROv2OYWC8k_8
Taj India Restaurant,"Kölnstraße 49, Bonn","P3QX+RV Bonn, Germany",1250,4.6,ChIJifovyabhvkcR-rhsX__ZjLs
Café Spitz,"Sterntorbrücke 10, Bonn","P3PW+QQ Bonn, Germany",2021,4.2,ChIJG8mM1aPhvkcRb_bLpx1_3sw
Pizza Zentrale,"Herwarthstraße 30, Bonn","P3MQ+HX Bonn, Germany",89,3.4,ChIJCST6ApjhvkcRjALKRRppkKY
Der Spanier | El Español,"Bornheimer Straße 76 und 78, Bonn","P3PQ+R6 Bonn, Germany",1220,4.3,ChIJJ0vtAr3hvkcRuH0ZA5i0gAw
Café Restaurant Bundeshäuschen,"Oberkasseler Ufer 4, Bonn","P558+8W Bonn, Germany",1114,4.3,ChIJ3wbt8R3kvkcRuUwtXAXoFo4
